___November_2012_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        1.8625
   2   1 -177.00  -89.00        1.8625
   3   1 -175.00  -89.00        1.8625
   4   1 -173.00  -89.00        1.8625
   5   1 -171.00  -89.00        1.8625
   6   1 -169.00  -89.00        1.8625
   7   1 -167.00  -89.00        1.8625
   8   1 -165.00  -89.00        1.8625
   9   1 -163.00  -89.00        1.8625
  10   1 -161.00  -89.00        1.8625
  11   1 -159.00  -89.00        1.8625
  12   1 -157.00  -89.00        1.8625
  13   1 -155.00  -89.00        1.8625
  14   1 -153.00  -89.00        1.8625
  15   1 -151.00  -89.00        1.8625
  16   1 -149.00  -89.00        1.8625
  17   1 -147.00  -89.00        1.8625
  18   1 -145.00  -89.00        1.8625
  19   1 -143.00  -89.00        1.8625
  20   1 -141.00  -89.00        1.8625
  21   1 -139.00  -89.00        1.8625
  22   1 -137.00  -89.00        1.8625
  23   1 -135.00  -89.00        1.8625
  24   1 -133.00  -89.00        1.8625
  25   1 -131.00  -89.00        1.8625
  26   1 -129.00  -89.00        1.8625
  27   1 -127.00  -89.00        1.8625
  28   1 -125.00  -89.00        1.8625
  29   1 -123.00  -89.00        1.8625
  30   1 -121.00  -89.00        1.8625
  31   1 -119.00  -89.00        1.8625
  32   1 -117.00  -89.00        1.8625
  33   1 -115.00  -89.00        1.8625
  34   1 -113.00  -89.00        1.8625
  35   1 -111.00  -89.00        1.8625
  36   1 -109.00  -89.00        1.8625
  37   1 -107.00  -89.00        1.8625
  38   1 -105.00  -89.00        1.8625
  39   1 -103.00  -89.00        1.8625
  40   1 -101.00  -89.00        1.8625
  41   1  -99.00  -89.00        1.8625
  42   1  -97.00  -89.00        1.8625
  43   1  -95.00  -89.00        1.8625
  44   1  -93.00  -89.00        1.8625
  45   1  -91.00  -89.00        1.8625
  46   1  -89.00  -89.00        1.8625
  47   1  -87.00  -89.00        1.8625
  48   1  -85.00  -89.00        1.8625
  49   1  -83.00  -89.00        1.8625
  50   1  -81.00  -89.00        1.8625
  51   1  -79.00  -89.00        1.8625
  52   1  -77.00  -89.00        1.8625
  53   1  -75.00  -89.00        1.8625
  54   1  -73.00  -89.00        1.8625
  55   1  -71.00  -89.00        1.8625
  56   1  -69.00  -89.00        1.8625
  57   1  -67.00  -89.00        1.8625
  58   1  -65.00  -89.00        1.8625
  59   1  -63.00  -89.00        1.8625
